payment_id,transaction_date,credit_amount
PAY_0001,2026-08-01,2231.00
PAY_0002,2026-08-02,2962.00
PAY_0003,2026-08-03,3693.00
PAY_0004,2026-08-04,4424.00
PAY_0005,2026-08-05,5155.00
PAY_0006,2026-08-06,5886.00
PAY_0007,2026-08-07,6617.00
PAY_0008,2026-08-08,7348.00
PAY_0009,2026-08-09,1579.00
PAY_0010,2026-08-10,2310.00
PAY_0011,2026-08-11,3041.00
PAY_0012,2026-08-12,3772.00
PAY_0013,2026-08-13,4503.00
PAY_0014,2026-08-14,5234.00
PAY_0015,2026-08-15,5965.00
PAY_0016,2026-08-16,6696.00
PAY_0017,2026-08-17,7427.00
PAY_0018,2026-08-18,1658.00
PAY_0019,2026-08-19,2389.00
PAY_0020,2026-08-20,3120.00
PAY_0021,2026-08-01,3851.00
PAY_0022,2026-08-02,4582.00
PAY_0023,2026-08-03,5313.00
PAY_0024,2026-08-04,6044.00
PAY_0025,2026-08-05,6775.00
PAY_0026,2026-08-06,7506.00
PAY_0027,2026-08-07,1737.00
PAY_0028,2026-08-08,2468.00
PAY_0029,2026-08-09,3199.00
PAY_0030,2026-08-10,3930.00
PAY_0031,2026-08-11,4661.00
PAY_0032,2026-08-12,5392.00
PAY_0033,2026-08-13,6123.00
PAY_0034,2026-08-14,6854.00
PAY_0035,2026-08-15,7585.00
PAY_0036,2026-08-16,1816.00
PAY_0037,2026-08-17,2547.00
PAY_0038,2026-08-18,3278.00
PAY_0039,2026-08-19,4009.00
PAY_0040,2026-08-20,4740.00
PAY_0041,2026-08-01,4700.00
PAY_0042,2026-08-02,6400.00
PAY_0044,2026-08-04,3600.00
PAY_0044,2026-08-04,3600.00
PAY_0045,2026-08-05,4500.00
PAY_0046,2026-08-06,5200.00
PAY_0047,2026-08-07,6100.00
PAY_0048,2026-08-08,7100.00
PAY_0049,2026-08-09,3800.00
PAY_0050,2026-08-10,3900.00
PAY_0052,2026-08-12,3300.00
PAY_0052,2026-08-12,3300.00
PAY_0053,2026-08-13,4700.00
PAY_0054,2026-08-14,5600.00
PAY_0055,2026-08-15,6200.00
PAY_0056,2026-08-16,6900.00
